age,job,education,default,balance,loan,day,month,y,val_email,phone_type,ConsumerGroup,contacts,days_since,total_contacts,last_campaign_outcome,mortgage
58,management,tertiary,no,410192,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
44,technician,secondary,no,753784,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
33,entrepreneur,secondary,no,487820,yes,5,may,no,no,unknown,B,1,-1,0,unknown,yes
47,blue-collar,unknown,no,206021,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
33,unknown,unknown,no,599481,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
35,management,tertiary,no,571134,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
28,management,tertiary,no,597177,yes,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
42,entrepreneur,tertiary,yes,799883,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
58,retired,primary,no,633589,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
43,technician,secondary,no,230775,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
41,admin.,secondary,no,20182,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
29,admin.,secondary,no,80632,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
53,technician,secondary,no,435815,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
58,technician,unknown,no,631518,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
57,services,secondary,no,561413,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
51,retired,primary,no,182895,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
45,admin.,unknown,no,66772,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
57,blue-collar,primary,no,649045,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
60,retired,primary,no,599989,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
33,services,secondary,no,685615,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
28,blue-collar,secondary,no,309971,yes,5,may,no,no,unknown,B,1,-1,0,unknown,yes
56,management,tertiary,no,501897,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
32,blue-collar,primary,no,342469,yes,5,may,no,no,unknown,C,1,-1,0,unknown,yes
25,services,secondary,no,698500,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
40,retired,primary,no,570726,yes,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
44,admin.,secondary,no,908116,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
39,management,tertiary,no,617293,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
52,entrepreneur,secondary,no,250490,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
46,management,secondary,no,688097,no,5,may,no,no,unknown,B,2,-1,0,unknown,yes
36,technician,secondary,no,444978,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
57,technician,secondary,no,532423,yes,5,may,no,no,unknown,A,1,-1,0,unknown,no
49,management,tertiary,no,378531,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
60,admin.,secondary,no,785559,yes,5,may,no,no,unknown,B,1,-1,0,unknown,yes
59,blue-collar,secondary,no,567318,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
51,management,tertiary,no,58770,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
57,technician,secondary,no,673217,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
25,blue-collar,secondary,no,904779,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
