"","lhs","","rhs","support","confidence","lift","count"
"[1]","{Filet Mignon}","=>","{Blackstone Merlot}",0.0902459112836804,0.825618945102261,6.24838416244356,767
"[2]","{Roast Chicken}","=>","{Duckhorn Chardonnay}",0.14142840334157,0.802403204272363,2.74652631216706,1202
"[3]","{Duck}","=>","{Duckhorn Chardonnay}",0.129779974114602,0.71903520208605,2.46116801551725,1103
"[4]","{Filet Mignon}","=>","{Meiomi Pinot Noir}",0.0122367337333804,0.11194833153929,2.21782953322243,104
"[5]","{Roast Chicken}","=>","{Meiomi Pinot Noir}",0.0188257442052006,0.106809078771696,2.1160148262952,160
"[6]","{Duck}","=>","{Meiomi Pinot Noir}",0.0172961524885281,0.0958279009126467,1.89846463836034,147
"[7]","{Pork Tenderloin}","=>","{Cantina Pinot Bianco}",0.521590775385339,0.926243209360635,1.67528006732412,4433
"[8]","{Duck}","=>","{Blackstone Merlot}",0.0150605953641605,0.0834419817470665,0.631499023035012,128
"[9]","{Roast Chicken}","=>","{Blackstone Merlot}",0.0108248029179904,0.061415220293725,0.464797824823124,92
"[10]","{Pork Tenderloin}","=>","{Blackstone Merlot}",0.0250617719731733,0.0445048056832428,0.336817759129012,213
"[11]","{Duck}","=>","{Cantina Pinot Bianco}",0.0291799035180609,0.161668839634941,0.292407633125637,248
"[12]","{Filet Mignon}","=>","{Duckhorn Chardonnay}",0.00717731497823273,0.0656620021528525,0.224752861980304,61
"[13]","{Pork Tenderloin}","=>","{Duckhorn Chardonnay}",0.0330627132603836,0.0587129126619306,0.200966993440897,281
"[14]","{Pork Tenderloin}","=>","{Meiomi Pinot Noir}",0.00529474055771267,0.00940242373589636,0.186273191914646,45
"[15]","{Roast Chicken}","=>","{Cantina Pinot Bianco}",0.0164725261795505,0.0934579439252336,0.169035766209951,140
"[16]","{Filet Mignon}","=>","{Cantina Pinot Bianco}",0.00729497587951524,0.0667384284176534,0.120708640800518,62
